model	accuracy	balanced_accuracy	macro_f1	weighted_f1
Existing RNA-only baseline	0.8289473684210527	0.7319298245614035	0.7759094348408124	
Final multimodal Transformer	0.7894736842105263	0.7298883572567783	0.7529606625258799	0.7836588754494932
