sample_id	PC1	PC2
TCGA-HN-A2NL-01	0.294074	-0.107749
TCGA-HN-A2OB-01	-0.112266	0.317111
TCGA-JL-A3YW-01	0.066311	0.029811
TCGA-JL-A3YX-01	-0.155884	0.080757
TCGA-LD-A66U-01	-0.172788	0.267629
TCGA-LD-A74U-01	-0.085574	0.261608
TCGA-LD-A7W5-01	-0.099309	0.102391
TCGA-LD-A7W6-01	-0.207852	0.189296
TCGA-LD-A9QF-01	0.201386	0.247483
TCGA-LL-A440-01	0.081695	0.357675
TCGA-LL-A441-01	0.361170	0.125074
TCGA-LL-A442-01	-0.103335	-0.131751
TCGA-LL-A50Y-01	-0.223336	-0.002699
TCGA-LL-A5YL-01	-0.109275	0.102874
TCGA-LL-A5YM-01	-0.219443	-0.137763
TCGA-LL-A5YN-01	0.009715	0.006980
TCGA-LL-A5YO-01	0.309618	0.068096
TCGA-LL-A5YP-01	0.421435	0.005514
TCGA-LL-A6FP-01	-0.291203	-0.140592
TCGA-LL-A6FQ-01	-0.298456	-0.100210
TCGA-LL-A6FR-01	0.342350	-0.014075
TCGA-LL-A73Y-01	0.373774	0.115573
TCGA-LL-A73Z-01	0.129456	0.220558
TCGA-LL-A740-01	-0.048697	0.003798
TCGA-LL-A7SZ-01	-0.026570	-0.000500
TCGA-LL-A7T0-01	-0.160737	-0.106280
TCGA-LL-A8F5-01	0.280798	-0.058778
TCGA-LL-A9Q3-01	-0.221995	-0.044634
TCGA-LQ-A4E4-01	-0.244490	-0.060302
TCGA-MS-A51U-01	-0.020744	0.237715
TCGA-OK-A5Q2-01	-0.036925	0.202159
TCGA-OL-A5D6-01	0.044037	0.033166
TCGA-OL-A5D7-01	0.320239	-0.211593
TCGA-OL-A5D8-01	-0.250752	-0.202276
TCGA-OL-A5DA-01	-0.175660	0.172065
TCGA-OL-A5RU-01	-0.045401	0.237706
TCGA-OL-A5RV-01	-0.051499	0.306471
TCGA-OL-A5RW-01	0.402451	-0.095102
TCGA-OL-A5RX-01	-0.002437	0.251449
TCGA-OL-A5RY-01	0.223692	0.250231
TCGA-OL-A5RZ-01	-0.058238	-0.200679
TCGA-OL-A5S0-01	0.430593	0.069718
TCGA-OL-A66H-01	-0.103944	0.012575
TCGA-OL-A66I-01	0.309155	0.005076
TCGA-OL-A66J-01	-0.129458	0.013836
TCGA-OL-A66K-01	-0.242128	0.079994
TCGA-OL-A66L-01	-0.178816	0.160599
TCGA-OL-A66N-01	-0.158474	0.193893
TCGA-OL-A66O-01	-0.281591	-0.116454
TCGA-OL-A66P-01	0.134990	0.024799
TCGA-OL-A6VO-01	0.383389	-0.142089
TCGA-OL-A6VQ-01	-0.130145	0.300024
TCGA-OL-A6VR-01	-0.122021	0.203207
TCGA-OL-A97C-01	0.163901	0.111216
TCGA-PE-A5DC-01	-0.149791	-0.044660
TCGA-PE-A5DD-01	-0.295734	-0.034446
TCGA-PE-A5DE-01	-0.100545	0.097865
TCGA-PL-A8LV-01	0.361791	-0.012192
TCGA-PL-A8LX-01	-0.119529	-0.070587
TCGA-PL-A8LY-01	0.228125	0.324000
TCGA-PL-A8LZ-01	0.364300	0.082563
TCGA-S3-A6ZF-01	-0.140066	-0.071182
TCGA-S3-A6ZG-01	-0.288329	0.039061
TCGA-S3-A6ZH-01	-0.186236	-0.028612
TCGA-S3-AA0Z-01	0.345215	-0.064525
TCGA-S3-AA10-01	0.402390	-0.079795
TCGA-S3-AA11-01	-0.243074	-0.004378
TCGA-S3-AA12-01	-0.237386	-0.247937
TCGA-S3-AA14-01	-0.118446	0.183838
TCGA-S3-AA15-01	0.339100	0.175180
TCGA-S3-AA17-01	-0.123866	-0.075739
TCGA-UL-AAZ6-01	-0.167578	-0.274987
TCGA-UU-A93S-01	0.015418	-0.109021
TCGA-V7-A7HQ-01	-0.113937	0.074871
TCGA-W8-A86G-01	-0.063111	0.280143
TCGA-WT-AB41-01	0.009674	0.027091
TCGA-WT-AB44-01	-0.105912	0.093885
TCGA-XX-A899-01	-0.046719	0.271432
TCGA-XX-A89A-01	0.035661	0.203110
TCGA-Z7-A8R5-01	0.051199	0.276094
TCGA-Z7-A8R6-01	-0.108318	-0.074878
