sample_id	PC1	PC2
TCGA-AC-A6IX-01	-0.132854	0.163384
TCGA-AC-A6NO-01	-0.089656	0.058411
TCGA-AC-A7VB-01	-0.240708	-0.333831
TCGA-AC-A7VC-01	0.226692	-0.037817
TCGA-AC-A8OP-01	-0.207762	0.046222
TCGA-AC-A8OQ-01	0.378353	0.046724
TCGA-AC-A8OR-01	0.023643	-0.041557
TCGA-AC-A8OS-01	-0.120218	0.246716
TCGA-AO-A12B-01	-0.126830	-0.118826
TCGA-AO-A1KO-01	0.279067	0.205461
TCGA-AO-A1KP-01	-0.182291	-0.203595
TCGA-AO-A1KQ-01	-0.055779	-0.188474
TCGA-AO-A1KR-01	0.348633	-0.182351
TCGA-AO-A1KS-01	-0.084690	-0.180961
TCGA-AO-A1KT-01	-0.074901	-0.155910
TCGA-AQ-A0Y5-01	-0.111198	0.000720
TCGA-AQ-A1H2-01	-0.148582	-0.299286
TCGA-AQ-A1H3-01	-0.087636	0.081618
TCGA-AQ-A54N-01	0.343111	-0.131504
TCGA-AQ-A54O-01	-0.069107	0.045669
TCGA-AQ-A7U7-01	-0.093945	0.184794
TCGA-AR-A1AI-01	0.448858	-0.181570
TCGA-AR-A1AJ-01	0.447920	-0.015535
TCGA-AR-A1AK-01	-0.023313	0.075178
TCGA-AR-A1AL-01	-0.022998	0.227041
TCGA-AR-A1AM-01	-0.013366	0.276638
TCGA-AR-A1AN-01	0.060883	0.028777
TCGA-AR-A1AO-01	0.337488	0.169386
TCGA-AR-A1AP-01	-0.098597	-0.063156
TCGA-AR-A1AQ-01	0.436464	-0.158519
TCGA-AR-A1AR-01	0.381562	-0.122447
TCGA-AR-A1AS-01	-0.103414	-0.210522
TCGA-AR-A1AT-01	0.001041	-0.116805
TCGA-AR-A1AU-01	-0.011650	0.099911
TCGA-AR-A1AV-01	-0.260114	-0.238178
TCGA-AR-A1AW-01	0.097569	-0.108573
TCGA-AR-A1AX-01	0.084757	0.243075
TCGA-AR-A1AY-01	0.334188	-0.107954
TCGA-AR-A24H-01	-0.096468	-0.356119
TCGA-AR-A24K-01	-0.199053	-0.021004
TCGA-AR-A24L-01	-0.106335	0.024359
TCGA-AR-A24M-01	-0.167602	0.082829
TCGA-AR-A24N-01	-0.162696	-0.212199
TCGA-AR-A24O-01	-0.024327	0.186441
TCGA-AR-A24P-01	-0.040881	0.022721
TCGA-AR-A24Q-01	0.367840	-0.064491
TCGA-AR-A24R-01	-0.114727	-0.244339
TCGA-AR-A24S-01	0.055393	-0.063757
TCGA-AR-A24T-01	-0.215516	0.160922
TCGA-AR-A24U-01	0.172030	-0.036053
TCGA-AR-A24V-01	-0.143204	-0.081013
TCGA-AR-A24W-01	0.075787	0.243101
TCGA-AR-A24X-01	-0.157805	-0.020759
TCGA-AR-A24Z-01	-0.153572	-0.291208
TCGA-AR-A250-01	-0.157871	-0.234046
TCGA-AR-A251-01	0.435749	-0.170448
TCGA-AR-A252-01	0.102100	0.047578
TCGA-AR-A254-01	0.047361	-0.096996
TCGA-AR-A255-01	-0.141947	-0.057226
TCGA-AR-A256-01	0.344552	-0.223353
TCGA-AR-A2LE-01	-0.139667	0.034644
TCGA-AR-A2LH-01	0.137744	0.296887
TCGA-AR-A2LJ-01	0.005044	0.318389
TCGA-AR-A2LK-01	-0.252182	-0.039494
TCGA-AR-A2LM-01	-0.127691	0.286143
TCGA-AR-A2LN-01	-0.076893	0.341113
TCGA-AR-A2LO-01	-0.043768	0.322273
TCGA-AR-A2LQ-01	0.065453	0.391859
TCGA-AR-A5QM-01	-0.207669	0.149490
TCGA-AR-A5QN-01	-0.179451	0.066974
TCGA-AR-A5QP-01	-0.046654	0.250127
TCGA-AR-A5QQ-01	0.266139	0.037816
TCGA-B6-A0I1-01	0.401851	-0.145434
TCGA-B6-A1KC-01	-0.188341	-0.164630
TCGA-B6-A1KF-01	0.318373	-0.226889
TCGA-B6-A1KI-01	-0.092404	0.090403
TCGA-B6-A1KN-01	-0.080218	-0.168584
TCGA-B6-A2IU-01	-0.205394	0.146305
TCGA-B6-A3ZX-01	0.424490	0.009393
TCGA-B6-A400-01	0.424515	-0.047561
TCGA-B6-A401-01	0.003832	0.147069
TCGA-B6-A402-01	0.450476	-0.101468
TCGA-B6-A408-01	-0.166163	-0.044625
TCGA-B6-A409-01	0.384287	0.041811
TCGA-B6-A40B-01	-0.169615	0.011699
TCGA-B6-A40C-01	-0.195848	-0.025602
TCGA-BH-A0AU-01	-0.084107	-0.028209
TCGA-BH-A0AZ-01	-0.061325	0.139666
TCGA-BH-A0B5-01	-0.224908	0.026434
TCGA-BH-A0BF-01	0.009229	-0.013392
TCGA-BH-A0BS-01	-0.108309	-0.040731
TCGA-BH-A0BT-01	-0.054368	-0.125261
TCGA-BH-A0BZ-01	-0.105022	-0.055275
TCGA-BH-A0C3-01	0.048864	0.014814
TCGA-BH-A0DD-01	-0.154837	-0.300828
TCGA-BH-A0DG-01	-0.035344	0.056677
TCGA-BH-A0DI-01	-0.016911	0.142458
TCGA-BH-A0DV-01	0.019996	0.229114
TCGA-BH-A0E2-01	-0.158778	-0.012112
TCGA-BH-A0H3-01	0.005530	0.145373
TCGA-BH-A0HA-01	-0.119630	-0.042018
TCGA-BH-A0HN-01	-0.214742	-0.149299
TCGA-BH-A1EN-01	-0.094374	-0.279382
TCGA-BH-A1EO-01	-0.204233	0.011578
TCGA-BH-A1ES-01	-0.091910	-0.172608
TCGA-BH-A1ET-01	-0.182163	-0.018863
