modality	feature	canonical_component	loading
miRNA	MIMAT0005923	CV5	-0.01996
miRNA	MIMAT0000454	CV5	-0.09779
miRNA	MIMAT0000226	CV5	-0.181966
miRNA	MIMAT0000266	CV5	-0.249382
miRNA	MIMAT0000262	CV5	-0.025892
miRNA	MIMAT0000728	CV5	0.193878
miRNA	MIMAT0000267	CV5	0.153808
miRNA	MIMAT0000441	CV5	0.17314
miRNA	MIMAT0019814	CV5	0.101904
miRNA	MIMAT0000102	CV5	0.233197
miRNA	MIMAT0000281	CV5	-0.175435
miRNA	MIMAT0000264	CV5	-0.031994
miRNA	MIMAT0000758	CV5	-0.320845
miRNA	MIMAT0000451	CV5	0.381533
miRNA	MIMAT0026480	CV5	0.18709
miRNA	MIMAT0000450	CV5	-0.097625
miRNA	MIMAT0017985	CV5	-0.128691
miRNA	MIMAT0003242	CV5	-0.095803
miRNA	MIMAT0001635	CV5	0.457246
miRNA	MIMAT0004784	CV5	-0.03291
miRNA	MIMAT0003882	CV5	-0.143751
miRNA	MIMAT0022721	CV5	-0.087177
miRNA	MIMAT0001541	CV5	-0.022741
miRNA	MIMAT0004929	CV5	-0.140159
miRNA	MIMAT0000434	CV5	-0.225305
miRNA	MIMAT0001413	CV5	0.043681
miRNA	MIMAT0006790	CV5	0.152196
miRNA	MIMAT0004809	CV5	0.338321
miRNA	MIMAT0022472	CV5	0.145627
miRNA	MIMAT0025477	CV5	-0.167449
