modality	feature	canonical_component	loading
miRNA	MIMAT0004929	CV1	0.388358
miRNA	MIMAT0000434	CV1	-0.254935
miRNA	MIMAT0001413	CV1	0.091347
miRNA	MIMAT0006790	CV1	0.051739
miRNA	MIMAT0004809	CV1	0.21462
miRNA	MIMAT0022472	CV1	0.023509
miRNA	MIMAT0025477	CV1	0.000209
RNA-seq	CLEC3A	CV2	-0.042358
RNA-seq	CPB1	CV2	0.010794
RNA-seq	SCGB2A2	CV2	-0.173266
RNA-seq	SCGB1D2	CV2	0.193652
RNA-seq	TFF1	CV2	0.144658
RNA-seq	PIP	CV2	0.035601
RNA-seq	GSTM1	CV2	0.000265
RNA-seq	MUCL1	CV2	0.073537
RNA-seq	S100A7	CV2	0.042337
RNA-seq	ANKRD30A	CV2	-0.052938
RNA-seq	CYP2B7P1	CV2	-0.035566
RNA-seq	AGR3	CV2	-0.074209
RNA-seq	PRAME	CV2	-0.118207
RNA-seq	MUC6	CV2	-0.023199
RNA-seq	CYP4Z1	CV2	0.031795
RNA-seq	HMGCS2	CV2	0.070707
RNA-seq	DHRS2	CV2	0.062668
RNA-seq	KCNJ3	CV2	-0.087209
RNA-seq	TFAP2B	CV2	0.098129
RNA-seq	SERPINA6	CV2	-0.013123
RNA-seq	TAT	CV2	-0.071615
RNA-seq	UGT2B11	CV2	-0.045242
RNA-seq	C4orf7	CV2	0.216727
RNA-seq	SLC30A8	CV2	-0.012635
RNA-seq	VSTM2A	CV2	-0.042641
RNA-seq	COL2A1	CV2	0.033236
RNA-seq	CALML5	CV2	0.061117
RNA-seq	ADIPOQ	CV2	-0.148547
RNA-seq	ADH1B	CV2	0.457968
RNA-seq	KRT14	CV2	-0.00784
RNA-seq	GP2	CV2	0.034966
RNA-seq	GRIA2	CV2	-0.082877
RNA-seq	MYBPC1	CV2	0.049788
RNA-seq	CEACAM5	CV2	-0.031168
RNA-seq	TFF3	CV2	-0.016159
RNA-seq	C1orf64	CV2	-0.04286
RNA-seq	GABRP	CV2	-0.023281
RNA-seq	SOX10	CV2	0.0875
RNA-seq	KRT5	CV2	0.456314
RNA-seq	MUC5B	CV2	-0.00105
RNA-seq	FABP7	CV2	-0.188107
RNA-seq	GSTT1	CV2	-0.008994
RNA-seq	LTF	CV2	0.02366
RNA-seq	CRABP1	CV2	-0.071164
RNA-seq	KRT6B	CV2	-0.223824
RNA-seq	SYT13	CV2	-0.02766
RNA-seq	CGA	CV2	0.025539
RNA-seq	KLK11	CV2	0.107811
RNA-seq	STAC2	CV2	0.103388
RNA-seq	CEACAM6	CV2	-0.01679
RNA-seq	HOXB13	CV2	0.03493
RNA-seq	SLC5A8	CV2	0.009999
RNA-seq	C20orf114	CV2	-0.023459
RNA-seq	BMPR1B	CV2	-0.1318
RNA-seq	BPIL1	CV2	-0.053176
RNA-seq	PVALB	CV2	0.058251
RNA-seq	CYP4F8	CV2	-0.007545
RNA-seq	NPY1R	CV2	0.067158
RNA-seq	LRP2	CV2	-0.010454
RNA-seq	AGR2	CV2	0.033848
RNA-seq	CST9	CV2	-0.027254
RNA-seq	OBP2B	CV2	-0.03922
RNA-seq	KCNC2	CV2	-0.042633
RNA-seq	TCN1	CV2	0.021062
RNA-seq	MUC16	CV2	0.022714
RNA-seq	ABCC11	CV2	-0.041933
RNA-seq	GFRA1	CV2	0.00982
RNA-seq	OLFM4	CV2	0.059051
RNA-seq	CYP2A6	CV2	0.02174
RNA-seq	CP	CV2	0.034326
RNA-seq	CLCA2	CV2	-0.004991
RNA-seq	FAM5C	CV2	-0.044544
RNA-seq	CRISP3	CV2	0.005809
RNA-seq	KRT81	CV2	0.018773
RNA-seq	PGR	CV2	0.026699
RNA-seq	KRT6A	CV2	0.003712
RNA-seq	SLC34A2	CV2	0.017639
RNA-seq	KLK5	CV2	0.070524
RNA-seq	KRT16	CV2	-0.008178
RNA-seq	PROM1	CV2	0.084943
RNA-seq	MUC2	CV2	-0.052976
RNA-seq	DSG3	CV2	-0.036778
RNA-seq	LBP	CV2	0.194505
RNA-seq	PTPRT	CV2	0.135396
RNA-seq	MSLN	CV2	-0.099117
RNA-seq	CARTPT	CV2	-0.094446
RNA-seq	PIGR	CV2	0.054651
RNA-seq	KRT17	CV2	-0.035323
RNA-seq	NLRP2	CV2	0.045441
RNA-seq	A2ML1	CV2	-0.077556
RNA-seq	CBLN2	CV2	-0.00299
RNA-seq	SLITRK6	CV2	-0.028433
RNA-seq	KLK6	CV2	-0.039933
RNA-seq	SERPINA11	CV2	-0.043405
RNA-seq	TUSC5	CV2	0.224982
RNA-seq	CST1	CV2	-0.070335
RNA-seq	KIF1A	CV2	-0.089405
RNA-seq	AQP5	CV2	0.08581
RNA-seq	KLK10	CV2	-0.046316
RNA-seq	ELF5	CV2	-0.021271
miRNA	MIMAT0005923	CV2	0.015575
miRNA	MIMAT0000454	CV2	0.113524
miRNA	MIMAT0000226	CV2	0.143238
miRNA	MIMAT0000266	CV2	0.325173
miRNA	MIMAT0000262	CV2	0.105073
miRNA	MIMAT0000728	CV2	-0.120853
miRNA	MIMAT0000267	CV2	-0.341968
miRNA	MIMAT0000441	CV2	-0.060342
miRNA	MIMAT0019814	CV2	-0.04711
miRNA	MIMAT0000102	CV2	-0.168408
miRNA	MIMAT0000281	CV2	-0.317909
miRNA	MIMAT0000264	CV2	0.22347
miRNA	MIMAT0000758	CV2	-0.090183
miRNA	MIMAT0000451	CV2	0.398901
miRNA	MIMAT0026480	CV2	-0.037649
miRNA	MIMAT0000450	CV2	-0.185772
miRNA	MIMAT0017985	CV2	0.016051
miRNA	MIMAT0003242	CV2	0.025743
miRNA	MIMAT0001635	CV2	0.444881
miRNA	MIMAT0004784	CV2	-0.129395
miRNA	MIMAT0003882	CV2	0.072034
miRNA	MIMAT0022721	CV2	0.086368
miRNA	MIMAT0001541	CV2	0.007854
miRNA	MIMAT0004929	CV2	0.020947
miRNA	MIMAT0000434	CV2	-0.063024
miRNA	MIMAT0001413	CV2	0.023016
miRNA	MIMAT0006790	CV2	0.245841
miRNA	MIMAT0004809	CV2	-0.124781
miRNA	MIMAT0022472	CV2	0.226218
miRNA	MIMAT0025477	CV2	0.10758
RNA-seq	CLEC3A	CV3	-0.066217
RNA-seq	CPB1	CV3	0.069154
RNA-seq	SCGB2A2	CV3	0.075108
RNA-seq	SCGB1D2	CV3	0.042867
RNA-seq	TFF1	CV3	0.209692
RNA-seq	PIP	CV3	0.018642
RNA-seq	GSTM1	CV3	-0.062566
RNA-seq	MUCL1	CV3	-0.051303
RNA-seq	S100A7	CV3	-0.062403
RNA-seq	ANKRD30A	CV3	-0.009329
RNA-seq	CYP2B7P1	CV3	0.014297
RNA-seq	AGR3	CV3	0.042008
RNA-seq	PRAME	CV3	-0.111115
RNA-seq	MUC6	CV3	0.023914
RNA-seq	CYP4Z1	CV3	-0.010037
RNA-seq	HMGCS2	CV3	-0.049673
RNA-seq	DHRS2	CV3	0.093673
RNA-seq	KCNJ3	CV3	-0.009235
RNA-seq	TFAP2B	CV3	-0.077043
RNA-seq	SERPINA6	CV3	0.004273
RNA-seq	TAT	CV3	0.059098
RNA-seq	UGT2B11	CV3	-0.030546
RNA-seq	C4orf7	CV3	0.187626
RNA-seq	SLC30A8	CV3	-0.073166
RNA-seq	VSTM2A	CV3	-0.018017
RNA-seq	COL2A1	CV3	0.107271
RNA-seq	CALML5	CV3	0.032485
RNA-seq	ADIPOQ	CV3	0.314177
RNA-seq	ADH1B	CV3	0.160198
RNA-seq	KRT14	CV3	0.096096
RNA-seq	GP2	CV3	-0.04564
RNA-seq	GRIA2	CV3	0.07604
RNA-seq	MYBPC1	CV3	-0.004178
RNA-seq	CEACAM5	CV3	-0.188435
RNA-seq	TFF3	CV3	-0.071219
RNA-seq	C1orf64	CV3	-0.097518
RNA-seq	GABRP	CV3	0.229898
RNA-seq	SOX10	CV3	-0.039819
RNA-seq	KRT5	CV3	-0.050663
RNA-seq	MUC5B	CV3	0.011928
RNA-seq	FABP7	CV3	0.117759
RNA-seq	GSTT1	CV3	0.009735
RNA-seq	LTF	CV3	-0.17619
RNA-seq	CRABP1	CV3	0.00292
RNA-seq	KRT6B	CV3	-0.273639
RNA-seq	SYT13	CV3	-0.046751
RNA-seq	CGA	CV3	0.151206
RNA-seq	KLK11	CV3	-0.076827
RNA-seq	STAC2	CV3	-0.043109
RNA-seq	CEACAM6	CV3	0.003886
RNA-seq	HOXB13	CV3	-0.052003
RNA-seq	SLC5A8	CV3	-0.051464
RNA-seq	C20orf114	CV3	-0.100576
RNA-seq	BMPR1B	CV3	0.072251
RNA-seq	BPIL1	CV3	0.070334
RNA-seq	PVALB	CV3	-0.059553
RNA-seq	CYP4F8	CV3	-0.109704
RNA-seq	NPY1R	CV3	0.013684
RNA-seq	LRP2	CV3	0.115049
RNA-seq	AGR2	CV3	-0.026138
RNA-seq	CST9	CV3	0.099849
RNA-seq	OBP2B	CV3	0.023461
RNA-seq	KCNC2	CV3	0.048758
RNA-seq	TCN1	CV3	-0.001391
RNA-seq	MUC16	CV3	-0.101845
RNA-seq	ABCC11	CV3	-0.098801
RNA-seq	GFRA1	CV3	-0.071111
RNA-seq	OLFM4	CV3	-0.002481
RNA-seq	CYP2A6	CV3	0.045309
RNA-seq	CP	CV3	0.001882
RNA-seq	CLCA2	CV3	-0.128136
RNA-seq	FAM5C	CV3	-0.046666
RNA-seq	CRISP3	CV3	-0.027982
RNA-seq	KRT81	CV3	-0.030149
RNA-seq	PGR	CV3	-0.14008
RNA-seq	KRT6A	CV3	-0.189366
RNA-seq	SLC34A2	CV3	-0.105857
RNA-seq	KLK5	CV3	-0.068407
RNA-seq	KRT16	CV3	0.100663
RNA-seq	PROM1	CV3	0.030795
RNA-seq	MUC2	CV3	0.010189
RNA-seq	DSG3	CV3	0.160416
RNA-seq	LBP	CV3	-0.158414
RNA-seq	PTPRT	CV3	0.089372
RNA-seq	MSLN	CV3	0.09397
RNA-seq	CARTPT	CV3	0.066438
RNA-seq	PIGR	CV3	0.082843
RNA-seq	KRT17	CV3	0.00156
RNA-seq	NLRP2	CV3	-0.005885
RNA-seq	A2ML1	CV3	-0.050295
RNA-seq	CBLN2	CV3	-0.043652
RNA-seq	SLITRK6	CV3	-0.03063
RNA-seq	KLK6	CV3	0.179372
RNA-seq	SERPINA11	CV3	-0.057902
RNA-seq	TUSC5	CV3	-0.246761
RNA-seq	CST1	CV3	0.011618
RNA-seq	KIF1A	CV3	-0.081406
RNA-seq	AQP5	CV3	0.082409
RNA-seq	KLK10	CV3	0.176411
RNA-seq	ELF5	CV3	-0.153309
miRNA	MIMAT0005923	CV3	-0.083598
miRNA	MIMAT0000454	CV3	-0.305312
miRNA	MIMAT0000226	CV3	-0.180866
miRNA	MIMAT0000266	CV3	-0.16534
miRNA	MIMAT0000262	CV3	-0.215647
miRNA	MIMAT0000728	CV3	-0.057952
miRNA	MIMAT0000267	CV3	-0.334258
miRNA	MIMAT0000441	CV3	0.015511
miRNA	MIMAT0019814	CV3	0.060072
miRNA	MIMAT0000102	CV3	0.090592
miRNA	MIMAT0000281	CV3	-0.192186
miRNA	MIMAT0000264	CV3	-0.190202
miRNA	MIMAT0000758	CV3	0.268382
miRNA	MIMAT0000451	CV3	0.222319
miRNA	MIMAT0026480	CV3	0.038612
miRNA	MIMAT0000450	CV3	0.18734
miRNA	MIMAT0017985	CV3	0.265541
miRNA	MIMAT0003242	CV3	0.337254
miRNA	MIMAT0001635	CV3	-0.026611
miRNA	MIMAT0004784	CV3	0.104883
miRNA	MIMAT0003882	CV3	-0.088143
miRNA	MIMAT0022721	CV3	-0.078936
miRNA	MIMAT0001541	CV3	-0.000809
miRNA	MIMAT0004929	CV3	0.229138
miRNA	MIMAT0000434	CV3	-0.250319
miRNA	MIMAT0001413	CV3	-0.12797
miRNA	MIMAT0006790	CV3	0.082788
miRNA	MIMAT0004809	CV3	-0.224707
miRNA	MIMAT0022472	CV3	0.141891
miRNA	MIMAT0025477	CV3	0.160722
RNA-seq	CLEC3A	CV4	-0.075996
RNA-seq	CPB1	CV4	-0.157589
RNA-seq	SCGB2A2	CV4	-0.205839
RNA-seq	SCGB1D2	CV4	0.244014
RNA-seq	TFF1	CV4	-0.083275
RNA-seq	PIP	CV4	0.031552
RNA-seq	GSTM1	CV4	0.043981
RNA-seq	MUCL1	CV4	0.030253
RNA-seq	S100A7	CV4	0.013411
RNA-seq	ANKRD30A	CV4	-0.055748
RNA-seq	CYP2B7P1	CV4	-0.120869
RNA-seq	AGR3	CV4	-0.17518
RNA-seq	PRAME	CV4	-0.019856
RNA-seq	MUC6	CV4	-0.045267
RNA-seq	CYP4Z1	CV4	0.014089
RNA-seq	HMGCS2	CV4	0.190701
RNA-seq	DHRS2	CV4	-0.129984
RNA-seq	KCNJ3	CV4	-0.012496
RNA-seq	TFAP2B	CV4	0.039868
RNA-seq	SERPINA6	CV4	-0.029212
RNA-seq	TAT	CV4	0.047855
RNA-seq	UGT2B11	CV4	-0.050591
RNA-seq	C4orf7	CV4	-0.010658
RNA-seq	SLC30A8	CV4	0.014706
RNA-seq	VSTM2A	CV4	-0.052472
RNA-seq	COL2A1	CV4	-0.137132
RNA-seq	CALML5	CV4	0.029882
RNA-seq	ADIPOQ	CV4	0.095623
RNA-seq	ADH1B	CV4	-0.070045
RNA-seq	KRT14	CV4	0.175295
RNA-seq	GP2	CV4	-0.000265
RNA-seq	GRIA2	CV4	0.26074
RNA-seq	MYBPC1	CV4	0.0375
RNA-seq	CEACAM5	CV4	0.08726
RNA-seq	TFF3	CV4	0.031655
RNA-seq	C1orf64	CV4	0.051611
RNA-seq	GABRP	CV4	0.227276
RNA-seq	SOX10	CV4	-0.0353
RNA-seq	KRT5	CV4	-0.328517
RNA-seq	MUC5B	CV4	0.10192
RNA-seq	FABP7	CV4	-0.022207
RNA-seq	GSTT1	CV4	0.030218
RNA-seq	LTF	CV4	0.110755
RNA-seq	CRABP1	CV4	0.12686
RNA-seq	KRT6B	CV4	0.059445
RNA-seq	SYT13	CV4	0.186618
RNA-seq	CGA	CV4	-0.03817
RNA-seq	KLK11	CV4	-0.038287
RNA-seq	STAC2	CV4	-0.022923
RNA-seq	CEACAM6	CV4	0.063115
RNA-seq	HOXB13	CV4	0.003686
RNA-seq	SLC5A8	CV4	0.117298
RNA-seq	C20orf114	CV4	0.151145
RNA-seq	BMPR1B	CV4	0.151906
RNA-seq	BPIL1	CV4	0.065562
RNA-seq	PVALB	CV4	-0.013089
RNA-seq	CYP4F8	CV4	0.148162
RNA-seq	NPY1R	CV4	-0.010123
RNA-seq	LRP2	CV4	-0.010802
RNA-seq	AGR2	CV4	-0.052662
RNA-seq	CST9	CV4	0.058479
RNA-seq	OBP2B	CV4	-0.052049
RNA-seq	KCNC2	CV4	-0.075122
RNA-seq	TCN1	CV4	0.096935
RNA-seq	MUC16	CV4	0.084048
RNA-seq	ABCC11	CV4	0.128059
RNA-seq	GFRA1	CV4	-0.04293
RNA-seq	OLFM4	CV4	0.025855
RNA-seq	CYP2A6	CV4	0.084892
RNA-seq	CP	CV4	-0.071212
RNA-seq	CLCA2	CV4	0.071204
RNA-seq	FAM5C	CV4	-0.046982
RNA-seq	CRISP3	CV4	-0.092478
RNA-seq	KRT81	CV4	0.043419
RNA-seq	PGR	CV4	0.053848
RNA-seq	KRT6A	CV4	-0.121849
RNA-seq	SLC34A2	CV4	0.013933
RNA-seq	KLK5	CV4	0.177511
RNA-seq	KRT16	CV4	0.201347
RNA-seq	PROM1	CV4	-0.111349
RNA-seq	MUC2	CV4	0.080824
RNA-seq	DSG3	CV4	-0.056651
RNA-seq	LBP	CV4	-0.092337
RNA-seq	PTPRT	CV4	0.03195
RNA-seq	MSLN	CV4	0.058878
RNA-seq	CARTPT	CV4	0.015564
RNA-seq	PIGR	CV4	-0.116427
RNA-seq	KRT17	CV4	-0.012759
RNA-seq	NLRP2	CV4	-0.104596
RNA-seq	A2ML1	CV4	-0.015829
RNA-seq	CBLN2	CV4	-0.082502
RNA-seq	SLITRK6	CV4	-0.06198
RNA-seq	KLK6	CV4	-0.106563
RNA-seq	SERPINA11	CV4	-0.042999
RNA-seq	TUSC5	CV4	-0.079852
RNA-seq	CST1	CV4	-0.085212
RNA-seq	KIF1A	CV4	-0.088082
RNA-seq	AQP5	CV4	0.120987
RNA-seq	KLK10	CV4	0.0073
RNA-seq	ELF5	CV4	-0.117325
miRNA	MIMAT0005923	CV4	-0.02984
miRNA	MIMAT0000454	CV4	0.400339
miRNA	MIMAT0000226	CV4	-0.325204
miRNA	MIMAT0000266	CV4	-0.013907
miRNA	MIMAT0000262	CV4	0.242783
miRNA	MIMAT0000728	CV4	0.255631
miRNA	MIMAT0000267	CV4	-0.266917
miRNA	MIMAT0000441	CV4	-0.108102
miRNA	MIMAT0019814	CV4	0.057136
miRNA	MIMAT0000102	CV4	-0.129573
miRNA	MIMAT0000281	CV4	0.08265
miRNA	MIMAT0000264	CV4	-0.013433
miRNA	MIMAT0000758	CV4	0.341135
miRNA	MIMAT0000451	CV4	-0.303597
miRNA	MIMAT0026480	CV4	0.367442
miRNA	MIMAT0000450	CV4	-0.211674
miRNA	MIMAT0017985	CV4	-0.056817
miRNA	MIMAT0003242	CV4	-0.006044
miRNA	MIMAT0001635	CV4	0.016818
miRNA	MIMAT0004784	CV4	0.193719
miRNA	MIMAT0003882	CV4	0.107826
miRNA	MIMAT0022721	CV4	-0.038844
miRNA	MIMAT0001541	CV4	-0.043576
miRNA	MIMAT0004929	CV4	0.109839
miRNA	MIMAT0000434	CV4	0.01804
miRNA	MIMAT0001413	CV4	0.03613
miRNA	MIMAT0006790	CV4	0.024999
miRNA	MIMAT0004809	CV4	-0.10062
miRNA	MIMAT0022472	CV4	0.128824
miRNA	MIMAT0025477	CV4	0.128266
RNA-seq	CLEC3A	CV5	0.031997
RNA-seq	CPB1	CV5	0.022803
RNA-seq	SCGB2A2	CV5	0.024794
RNA-seq	SCGB1D2	CV5	-0.011925
RNA-seq	TFF1	CV5	-0.135081
RNA-seq	PIP	CV5	-0.003141
RNA-seq	GSTM1	CV5	0.032163
RNA-seq	MUCL1	CV5	0.108653
RNA-seq	S100A7	CV5	-0.015771
RNA-seq	ANKRD30A	CV5	-0.016492
RNA-seq	CYP2B7P1	CV5	-0.013964
RNA-seq	AGR3	CV5	-0.317318
RNA-seq	PRAME	CV5	0.043168
RNA-seq	MUC6	CV5	0.000396
RNA-seq	CYP4Z1	CV5	0.024818
RNA-seq	HMGCS2	CV5	-0.049442
RNA-seq	DHRS2	CV5	-0.077435
RNA-seq	KCNJ3	CV5	0.064563
RNA-seq	TFAP2B	CV5	-0.048614
RNA-seq	SERPINA6	CV5	0.073573
RNA-seq	TAT	CV5	0.095273
RNA-seq	UGT2B11	CV5	0.049323
