model	accuracy	balanced_accuracy	macro_f1	best_epoch
RNA only	0.8289473684210527	0.7319298245614035	0.7759094348408124	7
RNA + miRNA	0.7763157894736842	0.5747368421052631	0.5882429335370511	5
RNA + methylation	0.8026315789473685	0.6571929824561404	0.6960340775558167	7
RNA + miRNA + methylation	0.8026315789473685	0.6305263157894737	0.6412078977932636	6
